join_id,tipo,area,no2_media,pred_fondo,recargo
SP_15070011_8_8,industrial,rural,1.100212593983497,4.179810781194606,-3.0795981872111087
SP_15078008_8_8,traffic,urban,9.26689100318402,9.932411024429774,-0.6655200212457544
SP_17079003_8_8,traffic,urban,20.75837639686836,17.977346560323397,2.7810298365449633
SP_18087007_8_8,traffic,urban,32.46170862163771,17.95415422553367,14.507554396104041
SP_20009001_8_8,traffic,urban,19.30871875042245,10.008623577376962,9.300095173045488
SP_20018001_8_8,traffic,urban,11.65049291716008,11.005272196290164,0.645220720869915
SP_20019001_8_8,traffic,suburban,16.606869271379665,11.54455954951893,5.062309721860736
SP_20040001_8_8,traffic,urban,19.241499429659367,11.916181521358464,7.325317908300903
SP_20055001_8_8,traffic,urban,14.4505376599268,11.1968563258088,3.2536813341179993
SP_20069002_8_8,traffic,urban,21.24119686055305,11.856530607516802,9.384666253036247
SP_20069005_8_8,traffic,urban,13.460292580090716,11.071642285865284,2.3886502942254317
SP_20069006_8_8,traffic,urban,25.908731992243972,16.684628232597575,9.224103759646397
SP_20071001_8_8,traffic,urban,18.280394273600795,10.222087089607518,8.058307183993277
SP_20073001_8_8,industrial,urban,9.969080389072625,7.202219565383637,2.7668608236889876
SP_21041015_8_8,industrial,urban,14.720948627633682,13.550848340418662,1.1701002872150195
SP_21041016_8_8,traffic,urban,9.90386375464498,11.711416401752523,-1.807552647107542
SP_21041017_8_8,industrial,urban,5.894978273273625,13.936709636287008,-8.041731363013383
SP_21050001_8_8,industrial,suburban,11.224516369213484,7.281317669829879,3.943198699383605
SP_21050003_8_8,industrial,suburban,11.05563242650505,6.550462284651726,4.505170141853323
SP_21053003_8_8,industrial,urban,11.354800349472132,6.6888041056141425,4.66599624385799
SP_21055005_8_8,industrial,suburban,4.519600612524363,8.093630731014112,-3.574030118489749
SP_21055007_8_8,industrial,suburban,8.066637106854497,9.640767664271234,-1.574130557416737
SP_21060002_8_8,industrial,urban,8.662216751573615,10.147813383534832,-1.4855966319612168
SP_21064002_8_8,industrial,urban,12.265945807754555,7.0254325482063456,5.24051325954821
SP_22125001_8_8,traffic,urban,15.550202326413917,11.78652831641022,3.7636740100036974
SP_23010002_8_8,industrial,urban,14.807107545380504,10.499403231353643,4.307704314026861
SP_23097001_8_8,industrial,urban,12.717021052111935,5.664215512744909,7.052805539367026
SP_24038001_8_8,industrial,rural,3.1816768376550986,5.661052462169264,-2.479375624514166
SP_24089006_8_8,traffic,urban,16.38381914410641,13.916417866686322,2.4674012774200893
SP_24115017_8_8,traffic,urban,16.14400069226397,14.367176225340044,1.7768244669239248
SP_24134006_8_8,industrial,suburban,5.837072826242081,7.523984617875005,-1.686911791632924
SP_25120001_8_8,traffic,urban,18.046876350431816,14.068484758372756,3.97839159205906
SP_26011001_8_8,industrial,rural,7.467018682478402,8.430421793001154,-0.9634031105227514
SP_26019001_8_8,industrial,rural,8.138048615840033,4.555147158812764,3.582901457027269
SP_26066001_8_8,industrial,rural,6.001160363350826,4.290041315363394,1.7111190479874328
SP_26117001_8_8,industrial,rural,5.945245847034625,5.499510631730122,0.4457352153045031
SP_27025015_8_8,industrial,suburban,4.245238754005956,4.893746934052093,-0.6485081800461368
SP_27028005_8_8,traffic,urban,9.56503754971466,12.324887411531284,-2.7598498618166243
SP_27033001_8_8,industrial,rural,1.0378008059010837,3.9439202571147236,-2.90611945121364
SP_27057001_8_8,industrial,suburban,3.5191166413741857,4.349429984288697,-0.8303133429145118
SP_27065004_8_8,industrial,rural,3.246036344759856,4.07811720014753,-0.8320808553876744
SP_28005002_8_8,traffic,urban,25.338282596027163,21.94804684115254,3.390235754874624
SP_28006004_8_8,traffic,urban,21.519355824013367,24.522964707535422,-3.0036088835220554
SP_28014002_8_8,industrial,urban,17.117306006289404,16.53491629921837,0.5823897070710338
SP_28045002_8_8,traffic,urban,16.09761864041755,18.04960388483382,-1.9519852444162709
SP_28047002_8_8,traffic,urban,22.331015968020083,14.030127743040325,8.300888224979758
SP_28049003_8_8,traffic,urban,28.40702192182768,24.913922660569405,3.4930992612582763
SP_28058004_8_8,industrial,urban,24.944312363413307,30.60928412716548,-5.664971763752174
SP_28065014_8_8,traffic,urban,28.640145587086987,34.6043028639188,-5.964157276831809
SP_28074007_8_8,traffic,urban,30.93345383390537,29.74636339269198,1.1870904412133925
SP_28079004_8_8,traffic,urban,28.139324075365263,25.41942375441949,2.719900320945772
SP_28079008_8_8,traffic,urban,32.75817101517494,25.156740581990594,7.601430433184344
